                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.1861,                 1.1031,                  1.595,                 1.1985,                 1.3097,                 1.5587,                0.78371,                0.76569,                0.84888,                0.59922,                0.98853,                0.91261,                 1.5359,                 1.0426,                 1.0909,                 1.5897,             0.00085834,             0.00085834,             0.00085834
                    101,                 1.1323,                 1.0659,                 1.5737,                 1.1471,                 1.2441,                 1.5347,                0.79721,                 0.7684,                0.85041,                0.57017,                 1.1236,                0.85055,                 1.7047,                 1.2052,                0.95737,                 1.7463,             0.00085009,             0.00085009,             0.00085009
                    102,                 1.1282,                 1.0784,                 1.5705,                 1.1406,                 1.2607,                 1.5477,                0.79303,                0.78502,                0.85713,                0.56332,                 1.0891,                 0.8702,                 1.6133,                 1.1329,                0.97443,                 1.6807,             0.00084184,             0.00084184,             0.00084184
                    103,                 1.1496,                 1.0622,                   1.58,                 1.1487,                 1.2565,                 1.5384,                0.82756,                0.73945,                0.84627,                0.59956,                 1.0363,                 0.9149,                 1.5638,                 1.0422,                 1.0764,                 1.5898,             0.00083358,             0.00083358,             0.00083358
                    104,                 1.1609,                 1.0503,                 1.5793,                  1.164,                  1.231,                 1.5472,                0.83989,                0.81392,                0.89295,                0.59175,                 1.1585,                0.84319,                 1.6989,                 1.2368,                 0.8107,                 1.7489,             0.00082533,             0.00082533,             0.00082533
                    105,                 1.1843,                 1.1059,                 1.5987,                 1.2004,                 1.2991,                 1.5532,                0.82148,                0.77976,                0.87446,                0.62383,                 1.0172,                0.81539,                 1.5529,                 1.0172,                0.87823,                  1.573,             0.00081708,             0.00081708,             0.00081708
                    106,                  1.175,                 1.1153,                 1.5972,                 1.1782,                 1.3053,                 1.5517,                0.84762,                0.81788,                0.89335,                0.63216,                 1.0369,                0.81653,                 1.5719,                 1.0718,                0.90016,                 1.6184,             0.00080883,             0.00080883,             0.00080883
                    107,                 1.1651,                 1.0909,                 1.5924,                 1.1885,                  1.274,                 1.5631,                0.81392,                0.81494,                0.88684,                0.61719,                 1.0939,                0.78018,                 1.6059,                 1.1413,                 0.8132,                 1.5983,             0.00080058,             0.00080058,             0.00080058
                    108,                  1.177,                 1.0822,                 1.5997,                 1.1994,                 1.2397,                 1.5664,                 0.8274,                0.77652,                 0.8679,                0.63121,                 0.9703,                 1.0094,                 1.5323,                 1.0455,                0.96944,                 1.5437,             0.00079233,             0.00079233,             0.00079233
                    109,                  1.117,                  1.059,                 1.5595,                 1.1421,                  1.226,                 1.5382,                0.78249,                 0.8527,                0.91769,                0.67762,                0.88063,                0.73364,                 1.4293,                 1.0215,                0.81501,                 1.5023,             0.00078407,             0.00078407,             0.00078407
                    110,                 1.0918,                 1.0781,                 1.5308,                 1.1199,                 1.2964,                 1.5132,                0.87368,                0.80698,                0.91587,                0.65883,                0.97442,                0.74501,                 1.5409,                 1.0417,                0.84014,                  1.587,             0.00077582,             0.00077582,             0.00077582
                    111,                 1.1119,                 1.0367,                 1.5447,                 1.1192,                 1.1983,                 1.5168,                0.87093,                0.77887,                0.88948,                0.64644,                 1.0144,                0.81631,                 1.5364,                 1.0422,                 0.9693,                  1.586,             0.00076757,             0.00076757,             0.00076757
                    112,                 1.1475,                  1.057,                 1.5806,                 1.1718,                  1.237,                 1.5492,                 0.8088,                 0.8705,                0.92813,                 0.6836,                0.92834,                0.73822,                 1.4599,                  1.058,                0.69291,                 1.5543,             0.00075932,             0.00075932,             0.00075932
                    113,                 1.1014,                 1.0275,                 1.5319,                 1.1097,                 1.2088,                 1.5097,                0.89459,                0.88363,                0.95056,                0.70456,                0.86203,                0.72072,                 1.4165,                0.99036,                0.70175,                 1.5337,             0.00075107,             0.00075107,             0.00075107
                    114,                 1.0944,                 1.0377,                 1.5235,                  1.132,                 1.2335,                 1.5094,                0.78976,                0.80291,                0.90848,                0.67996,                0.91324,                0.73991,                 1.4449,                0.99091,                0.84567,                 1.5183,             0.00074282,             0.00074282,             0.00074282
                    115,                 1.0688,                0.98595,                 1.5009,                 1.0878,                 1.1804,                 1.4696,                0.87334,                0.77976,                0.91146,                0.69299,                0.89371,                0.70534,                 1.4311,                  1.029,                0.67477,                 1.5049,             0.00073456,             0.00073456,             0.00073456
                    116,                 1.0996,                   1.04,                 1.5567,                 1.1259,                  1.212,                 1.5235,                0.77281,                0.82792,                0.86517,                0.64459,                 0.9686,                0.76626,                 1.5346,                  1.009,                0.85182,                 1.5547,             0.00072631,             0.00072631,             0.00072631
                    117,                 1.0942,                 1.0378,                 1.5351,                 1.1139,                 1.2546,                 1.5118,                0.85247,                0.78666,                0.89941,                0.65243,                0.94135,                0.75024,                 1.4563,                  1.035,                0.77915,                 1.5292,             0.00071806,             0.00071806,             0.00071806
                    118,                 1.0684,                0.98295,                 1.5146,                 1.1032,                 1.1513,                 1.4905,                0.80177,                0.81166,                0.88958,                0.64299,                0.91617,                0.74347,                 1.4503,                0.97428,                0.85941,                 1.4933,             0.00070981,             0.00070981,             0.00070981
                    119,                 1.0594,                0.96533,                 1.4856,                 1.0803,                 1.1692,                 1.4783,                0.87381,                0.82453,                0.89242,                0.64648,                0.92175,                0.75435,                 1.4644,                 1.0173,                 0.7584,                 1.5222,             0.00070156,             0.00070156,             0.00070156
                    120,                 1.0741,                 1.0115,                 1.5182,                  1.084,                 1.1734,                 1.4867,                0.86758,                0.82659,                0.92663,                0.68086,                0.94901,                 0.6887,                 1.4688,                 1.0607,                0.69131,                 1.5465,             0.00069331,             0.00069331,             0.00069331
                    121,                 1.0974,                 1.0182,                 1.5463,                 1.1104,                 1.2046,                 1.5244,                0.92311,                0.81094,                0.93154,                0.68562,                0.88572,                0.71013,                 1.4495,                 1.0112,                0.67448,                 1.5487,             0.00068505,             0.00068505,             0.00068505
                    122,                 1.1012,                 1.0013,                 1.5448,                 1.1155,                 1.1853,                   1.52,                0.89196,                0.81061,                0.90309,                0.65982,                0.92223,                0.79563,                 1.4436,                 1.0562,                0.83193,                 1.5487,              0.0006768,              0.0006768,              0.0006768
                    123,                 1.0358,                0.97685,                 1.4889,                  1.044,                 1.1433,                 1.4712,                0.77249,                0.77738,                0.87168,                0.62571,                0.91284,                0.85368,                 1.4947,                 1.0292,                0.88385,                 1.5904,             0.00066855,             0.00066855,             0.00066855
                    124,                 1.0404,                0.93944,                  1.495,                 1.0936,                 1.0969,                 1.4823,                  0.825,                0.72949,                0.86459,                0.60402,                 1.0138,                0.81427,                 1.5431,                 1.0649,                0.89078,                 1.5592,              0.0006603,              0.0006603,              0.0006603
                    125,                 1.0769,                0.97799,                  1.512,                 1.1043,                 1.1632,                 1.4975,                0.81346,                 0.8572,                0.89333,                0.67474,                0.88864,                0.76373,                  1.427,                0.93967,                0.88742,                 1.4523,             0.00065205,             0.00065205,             0.00065205
                    126,                 1.0457,                0.96248,                 1.5087,                 1.0759,                 1.1228,                 1.4951,                0.82592,                0.87706,                0.93762,                0.70529,                0.91927,                0.73116,                 1.4439,                0.97898,                0.69006,                 1.5186,              0.0006438,              0.0006438,              0.0006438
                    127,                 1.0376,                0.92718,                 1.4912,                 1.0538,                 1.1003,                 1.4724,                0.86019,                0.83929,                 0.9189,                0.69612,                0.85978,                 0.7529,                 1.3985,                0.92771,                0.72138,                 1.4641,             0.00063554,             0.00063554,             0.00063554
                    128,                 1.0785,                 0.9839,                 1.5103,                 1.1026,                 1.1635,                 1.4979,                0.90647,                0.83635,                0.94749,                0.72497,                0.84276,                 0.6627,                 1.3863,                 0.9091,                0.65636,                 1.4478,             0.00062729,             0.00062729,             0.00062729
                    129,                 1.0386,                0.93335,                 1.4966,                 1.0568,                 1.0994,                 1.4812,                0.88704,                0.80092,                0.92847,                0.71252,                 0.8417,                0.72039,                 1.3771,                0.91441,                0.71533,                 1.4131,             0.00061904,             0.00061904,             0.00061904
                    130,                 1.0147,                0.92939,                 1.4624,                 1.0233,                 1.0939,                 1.4439,                0.82346,                0.79004,                0.89686,                0.67959,                0.84507,                0.77833,                 1.3917,                 0.9862,                0.81207,                 1.5111,             0.00061079,             0.00061079,             0.00061079
                    131,                 1.0052,                 0.9606,                 1.4762,                 1.0343,                  1.151,                 1.4621,                0.86061,                0.86362,                0.92545,                0.70563,                0.81707,                0.67461,                 1.3484,                0.90566,                0.65466,                 1.4181,             0.00060254,             0.00060254,             0.00060254
                    132,                 1.0189,                0.94512,                 1.4827,                 1.0676,                 1.1064,                 1.4742,                0.85357,                0.77908,                0.90215,                0.71516,                0.76617,                0.67901,                 1.3214,                0.83932,                0.69932,                 1.3831,             0.00059429,             0.00059429,             0.00059429
                    133,                 1.0605,                 0.9742,                 1.5092,                 1.0956,                 1.1568,                 1.4927,                0.80991,                0.76834,                0.87673,                0.66963,                0.90435,                0.78209,                 1.4122,                0.94567,                0.81347,                 1.4646,             0.00058603,             0.00058603,             0.00058603
                    134,                 1.0435,                 0.9726,                 1.4923,                 1.0839,                  1.144,                 1.4734,                0.85125,                0.91883,                0.95639,                0.73199,                0.80724,                0.62541,                 1.3196,                0.86997,                0.66982,                 1.3757,             0.00057778,             0.00057778,             0.00057778
                    135,                 1.0222,                 0.9452,                 1.4562,                  1.066,                  1.118,                 1.4583,                0.92754,                0.78906,                0.93314,                0.71329,                0.82882,                0.61578,                 1.3578,                0.95124,                0.58187,                 1.4226,             0.00056953,             0.00056953,             0.00056953
                    136,                0.99981,                0.91705,                 1.4583,                 1.0407,                 1.0516,                 1.4553,                0.93503,                0.84903,                0.96189,                0.73529,                0.82048,                0.58062,                  1.337,                0.96147,                 0.5295,                 1.4054,             0.00056128,             0.00056128,             0.00056128
                    137,                 1.0339,                0.94341,                 1.4733,                  1.059,                 1.1179,                 1.4558,                 0.9468,                0.87299,                0.97065,                0.75015,                0.77037,                0.59002,                 1.3007,                0.87708,                0.55049,                  1.341,             0.00055303,             0.00055303,             0.00055303
                    138,                0.99997,                0.90052,                 1.4495,                 1.0279,                 1.0879,                 1.4399,                0.87477,                0.85778,                0.95022,                0.75903,                0.77203,                0.55798,                 1.2966,                0.83198,                0.59971,                 1.2993,             0.00054478,             0.00054478,             0.00054478
                    139,                0.96977,                0.90147,                 1.4246,                 1.0114,                 1.0623,                 1.4129,                0.89784,                0.88653,                0.94519,                0.74552,                0.79185,                0.56957,                 1.3223,                0.83541,                0.61402,                 1.3324,             0.00053652,             0.00053652,             0.00053652
                    140,                 1.0092,                0.91246,                 1.4642,                 1.0434,                 1.0888,                  1.462,                0.80381,                0.91358,                0.93915,                0.71231,                 0.8221,                0.58978,                 1.3385,                0.93456,                0.63263,                 1.3711,             0.00052827,             0.00052827,             0.00052827
                    141,                 1.0037,                0.90462,                 1.4413,                 1.0217,                 1.0577,                 1.4132,                0.85655,                0.90081,                0.93001,                0.72658,                0.77492,                0.66694,                 1.2935,                0.87762,                0.65409,                 1.3264,             0.00052002,             0.00052002,             0.00052002
                    142,                0.96402,                0.88326,                 1.4233,                0.99817,                 1.0421,                 1.4163,                0.91962,                0.86976,                0.95905,                 0.7629,                0.71758,                0.59543,                 1.2423,                0.83291,                0.53592,                 1.2933,             0.00051177,             0.00051177,             0.00051177
                    143,                0.99391,                0.90394,                 1.4466,                 1.0384,                 1.0657,                 1.4457,                0.95083,                 0.8784,                0.95666,                 0.7531,                0.71663,                0.58501,                 1.2525,                 0.8465,                0.49874,                 1.3195,             0.00050352,             0.00050352,             0.00050352
                    144,                 0.9533,                0.88379,                 1.4148,                0.98442,                  1.015,                 1.4117,                0.92625,                0.88897,                0.96338,                0.76832,                0.70792,                0.54078,                 1.2376,                0.77209,                0.54057,                 1.2625,             0.00049527,             0.00049527,             0.00049527
                    145,                 1.0011,                0.88549,                 1.4528,                 1.0423,                 1.0443,                 1.4423,                0.83945,                 0.9223,                0.94965,                0.75009,                0.71978,                0.55597,                 1.2505,                0.74168,                0.60629,                 1.2531,             0.00048701,             0.00048701,             0.00048701
                    146,                0.98592,                0.90624,                 1.4367,                 1.0189,                 1.0613,                 1.4261,                0.96427,                0.83766,                0.96549,                0.76696,                0.76969,                0.57889,                 1.2799,                0.84207,                0.54223,                 1.3113,             0.00047876,             0.00047876,             0.00047876
                    147,                0.97269,                0.87749,                 1.4424,                  1.009,                 1.0464,                 1.4362,                0.94286,                0.88322,                0.97047,                0.78921,                0.69529,                0.54929,                 1.2253,                0.75037,                0.51149,                 1.2503,             0.00047051,             0.00047051,             0.00047051
                    148,                0.98333,                0.90401,                  1.438,                  1.021,                 1.0624,                  1.425,                0.82164,                0.93128,                  0.956,                0.73968,                 0.7924,                0.56622,                 1.3336,                0.85361,                0.54617,                 1.3829,             0.00046226,             0.00046226,             0.00046226
                    149,                  1.001,                0.92543,                 1.4584,                 1.0435,                 1.1228,                 1.4584,                0.83329,                0.91197,                0.94355,                0.74723,                0.70922,                0.58573,                 1.2428,                0.83284,                0.56329,                  1.304,             0.00045401,             0.00045401,             0.00045401
                    150,                0.93551,                0.85877,                  1.407,                0.96014,                 1.0317,                 1.3949,                0.88339,                 0.9413,                0.96574,                0.78729,                0.65343,                0.56666,                 1.2111,                0.74317,                0.51815,                 1.2505,             0.00044576,             0.00044576,             0.00044576
                    151,                0.96047,                0.88347,                 1.4221,                0.99051,                  1.052,                 1.4201,                0.86729,                0.88307,                0.94021,                 0.7682,                0.69716,                0.53457,                 1.2266,                0.72147,                0.52016,                 1.2307,              0.0004375,              0.0004375,              0.0004375
                    152,                0.94788,                0.85421,                 1.4107,                0.98422,                 1.0055,                 1.4079,                0.85648,                0.94102,                0.96234,                0.74921,                0.77053,                0.52603,                 1.2836,                0.81908,                0.51369,                   1.33,             0.00042925,             0.00042925,             0.00042925
                    153,                0.94937,                0.83713,                 1.4159,                0.99437,                0.96623,                 1.4144,                0.90342,                0.87476,                0.96047,                0.78582,                0.67498,                0.52863,                 1.2101,                0.71922,                0.52095,                 1.2572,               0.000421,               0.000421,               0.000421
                    154,                0.96078,                0.87598,                  1.423,                0.99752,                 1.0446,                 1.4134,                0.88339,                0.87377,                0.95063,                0.78385,                0.67041,                0.51696,                 1.1984,                0.71268,                 0.5256,                   1.21,             0.00041275,             0.00041275,             0.00041275
                    155,                0.96907,                0.88259,                 1.4266,                 1.0017,                 1.0701,                 1.4174,                0.90777,                0.85481,                0.93623,                0.76997,                0.69583,                0.57992,                 1.2208,                0.75799,                0.59442,                 1.2457,              0.0004045,              0.0004045,              0.0004045
                    156,                 0.9595,                0.86048,                 1.4088,                0.99229,                 1.0366,                  1.404,                0.90774,                0.85931,                0.95139,                0.77902,                 0.6575,                0.53202,                 1.1935,                0.73511,                0.50657,                 1.2338,             0.00039625,             0.00039625,             0.00039625
                    157,                0.88771,                0.79522,                 1.3737,                0.92162,                0.93413,                 1.3678,                 0.8536,                0.94628,                 0.9632,                0.80122,                0.64317,                0.52524,                 1.1856,                0.74839,                0.45538,                 1.2385,             0.00038799,             0.00038799,             0.00038799
                    158,                  0.895,                0.79991,                 1.3694,                0.93222,                0.95209,                 1.3556,                0.91211,                0.89845,                0.96722,                0.79344,                0.67179,                0.52544,                 1.2166,                0.76248,                0.49279,                 1.2543,             0.00037974,             0.00037974,             0.00037974
                    159,                0.91481,                0.80077,                 1.3916,                0.96836,                0.93394,                 1.3869,                0.93254,                0.90972,                0.97451,                0.81125,                0.62826,                0.47709,                 1.1624,                0.67823,                0.42764,                 1.1957,             0.00037149,             0.00037149,             0.00037149
                    160,                0.91637,                0.80069,                 1.3866,                0.93297,                0.96015,                 1.3712,                0.89812,                0.88773,                0.96794,                0.80898,                0.65001,                0.47931,                 1.1795,                0.69339,                0.42002,                 1.1901,             0.00036324,             0.00036324,             0.00036324
                    161,                0.95388,                0.82065,                 1.4099,                0.96449,                0.98453,                 1.3857,                0.85927,                0.92272,                0.96397,                0.81278,                0.66008,                0.49122,                 1.1777,                0.68934,                0.44216,                  1.201,             0.00035499,             0.00035499,             0.00035499
                    162,                0.90776,                0.80052,                 1.3805,                0.93643,                0.94454,                   1.37,                0.87001,                0.91304,                 0.9555,                0.78059,                0.72159,                0.56187,                 1.2379,                0.76456,                0.56231,                  1.246,             0.00034674,             0.00034674,             0.00034674
                    163,                0.93722,                0.82795,                 1.4055,                0.96681,                0.99116,                 1.3963,                0.85458,                0.82973,                0.93999,                0.76589,                0.65201,                0.53645,                 1.1882,                0.68431,                 0.6206,                 1.2146,             0.00033848,             0.00033848,             0.00033848
                    164,                0.92442,                0.82025,                 1.3806,                0.96886,                0.96843,                  1.378,                0.88079,                0.93108,                0.97112,                0.81323,                0.61504,                 0.4725,                 1.1644,                0.66949,                0.44374,                 1.2007,             0.00033023,             0.00033023,             0.00033023
                    165,                0.92783,                0.83103,                 1.3841,                0.97609,                0.98512,                 1.3812,                0.98464,                0.87503,                0.97641,                0.80508,                 0.6656,                 0.4782,                 1.1799,                0.67797,                0.42734,                  1.209,             0.00032198,             0.00032198,             0.00032198
                    166,                0.94227,                0.82989,                 1.3966,                0.97702,                0.95932,                  1.389,                0.91689,                0.91775,                0.96975,                0.77132,                0.67599,                0.52426,                 1.2096,                 0.7252,                0.54791,                 1.2352,             0.00031373,             0.00031373,             0.00031373
                    167,                0.92614,                0.79159,                 1.3853,                0.96733,                0.94177,                 1.3941,                0.89976,                0.90586,                0.96261,                0.79795,                0.67436,                0.48383,                 1.1865,                 0.6904,                0.54745,                 1.1909,             0.00030548,             0.00030548,             0.00030548
                    168,                0.91704,                0.80076,                 1.3866,                0.95483,                0.92391,                 1.3829,                0.96282,                0.90129,                0.97503,                0.82284,                0.62026,                0.44831,                  1.153,                0.69526,                0.38945,                   1.18,             0.00029723,             0.00029723,             0.00029723
                    169,                0.93152,                0.80109,                 1.4004,                 0.9727,                0.95298,                 1.3936,                0.91672,                0.90153,                0.97214,                 0.8085,                0.67821,                0.46813,                 1.1927,                0.68451,                 0.5446,                 1.1861,             0.00028897,             0.00028897,             0.00028897
                    170,                0.91489,                0.78167,                 1.3737,                0.95056,                0.90214,                 1.3722,                0.90606,                0.93211,                0.97868,                0.81669,                0.60885,                0.46454,                 1.1456,                0.63886,                0.43599,                  1.164,             0.00028072,             0.00028072,             0.00028072
                    171,                0.91817,                0.84686,                 1.3855,                0.95587,                 1.0281,                 1.3661,                0.91673,                 0.8966,                0.97411,                 0.8041,                0.59737,                0.48191,                 1.1457,                0.62642,                0.50621,                 1.1551,             0.00027247,             0.00027247,             0.00027247
                    172,                0.88589,                  0.784,                 1.3629,                0.92366,                0.93824,                 1.3548,                0.93853,                0.91148,                0.98208,                0.82336,                0.59286,                0.47835,                 1.1335,                0.65208,                0.41361,                 1.1564,             0.00026422,             0.00026422,             0.00026422
                    173,                0.89274,                0.78974,                 1.3735,                0.91808,                0.95315,                 1.3586,                0.93749,                0.90693,                0.97422,                0.82305,                0.60203,                0.48003,                 1.1385,                0.69107,                0.41922,                 1.1772,             0.00025597,             0.00025597,             0.00025597
                    174,                0.90394,                0.83516,                 1.3853,                0.94625,                0.98318,                 1.3882,                0.90733,                0.89528,                0.97091,                 0.8251,                0.60295,                0.44934,                 1.1444,                 0.6489,                0.39389,                 1.1666,             0.00024772,             0.00024772,             0.00024772
                    175,                0.88646,                0.78672,                 1.3579,                0.90306,                0.94845,                  1.332,                0.96933,                0.91302,                0.98273,                0.84164,                0.56218,                0.44239,                 1.1233,                0.60021,                0.34998,                 1.1359,             0.00023946,             0.00023946,             0.00023946
                    176,                0.89844,                0.78084,                 1.3792,                0.92547,                0.91161,                  1.359,                 0.9428,                0.90584,                0.97434,                0.84007,                0.55881,                0.45791,                 1.1119,                 0.6055,                0.39724,                 1.1283,             0.00023121,             0.00023121,             0.00023121
                    177,                0.87285,                0.77239,                 1.3618,                0.91767,                 0.9034,                 1.3584,                0.95922,                 0.8927,                0.97735,                0.83197,                0.58584,                0.44141,                 1.1146,                0.61269,                0.40718,                 1.1337,             0.00022296,             0.00022296,             0.00022296
                    178,                0.86333,                0.77373,                 1.3562,                0.90183,                0.89073,                 1.3431,                0.94057,                0.86642,                0.96986,                0.82788,                 0.5569,                0.44112,                 1.1016,                0.56869,                0.42504,                 1.1189,             0.00021471,             0.00021471,             0.00021471
                    179,                0.88044,                0.77395,                 1.3703,                0.92723,                0.92683,                 1.3713,                  0.953,                0.88364,                0.97712,                0.83051,                0.57579,                0.44733,                 1.1086,                0.57361,                0.40833,                 1.1184,             0.00020646,             0.00020646,             0.00020646
                    180,                  0.869,                0.75108,                 1.3647,                 0.9093,                0.87597,                 1.3649,                 0.9201,                0.92796,                0.97686,                0.82884,                0.56592,                 0.4445,                 1.1063,                0.58439,                0.41628,                 1.1282,             0.00019821,             0.00019821,             0.00019821
                    181,                 0.8778,                0.77677,                 1.3493,                0.91584,                0.89794,                 1.3404,                 0.9052,                0.95238,                0.97823,                 0.8435,                0.57126,                0.44964,                 1.1094,                0.60601,                0.39162,                 1.1352,             0.00018995,             0.00018995,             0.00018995
                    182,                0.88644,                0.78598,                 1.3629,                0.91964,                0.93363,                 1.3609,                0.91166,                 0.9739,                0.98335,                0.85178,                0.54595,                0.44982,                 1.1049,                0.58732,                0.39526,                 1.1351,              0.0001817,              0.0001817,              0.0001817
                    183,                0.85542,                0.75844,                  1.336,                0.90248,                0.89876,                 1.3388,                0.93083,                0.97693,                0.98934,                0.85289,                0.55106,                0.42405,                 1.0973,                0.58583,                0.34614,                 1.1251,             0.00017345,             0.00017345,             0.00017345
                    184,                0.89055,                0.78166,                 1.3724,                 0.9475,                0.93253,                  1.377,                 0.9114,                0.95799,                0.97765,                0.83953,                0.57847,                0.44311,                 1.1159,                0.58566,                0.41573,                 1.1133,              0.0001652,              0.0001652,              0.0001652
                    185,                0.85035,                0.75798,                 1.3338,                0.89077,                0.90284,                  1.333,                0.93291,                0.95387,                0.98669,                0.85564,                0.54671,                0.41858,                 1.0997,                0.56683,                0.38093,                 1.1067,             0.00015695,             0.00015695,             0.00015695
                    186,                0.83815,                0.74949,                 1.3264,                0.87294,                0.87466,                 1.3187,                0.91809,                0.92911,                  0.968,                0.83204,                0.57899,                0.43495,                 1.1222,                0.62199,                0.43683,                  1.136,              0.0001487,              0.0001487,              0.0001487
                    187,                 0.8456,                0.72358,                 1.3336,                0.87929,                0.86289,                 1.3267,                0.89059,                0.96043,                0.97082,                0.84641,                0.55167,                0.45568,                 1.1022,                0.55779,                0.46459,                 1.1166,             0.00014044,             0.00014044,             0.00014044
                    188,                0.84546,                0.75567,                  1.333,                 0.8852,                0.90631,                 1.3272,                0.90101,                 0.9488,                 0.9711,                0.83913,                0.54998,                0.45575,                 1.1034,                 0.5562,                0.44697,                 1.1128,             0.00013219,             0.00013219,             0.00013219
                    189,                0.83482,                0.75728,                 1.3234,                0.87389,                0.91139,                 1.3218,                0.90898,                0.95292,                0.98282,                0.85314,                 0.5407,                0.43007,                 1.0864,                0.54299,                0.40355,                 1.0987,             0.00012394,             0.00012394,             0.00012394
                    190,                0.85288,                0.76729,                 1.3447,                0.88264,                0.91239,                 1.3365,                0.89586,                0.98864,                0.98111,                0.85902,                0.52207,                0.40254,                 1.0714,                0.54281,                0.33929,                 1.0929,             0.00011569,             0.00011569,             0.00011569
                    191,                0.68377,                0.73461,                 1.2208,                0.72357,                0.74887,                 1.2387,                0.92371,                0.95475,                0.98586,                0.86084,                0.53042,                0.41505,                 1.0733,                0.55156,                0.33686,                  1.098,             0.00010744,             0.00010744,             0.00010744
                    192,                0.67993,                0.64337,                 1.2383,                0.73973,                0.69267,                 1.2617,                0.92136,                0.95346,                0.98328,                0.85866,                0.53968,                0.41624,                 1.0777,                0.57063,                 0.3377,                 1.1012,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    193,                0.66063,                0.55029,                  1.204,                0.71922,                0.60083,                 1.2275,                0.94086,                0.95292,                0.98389,                0.85039,                0.55884,                0.43792,                 1.0861,                0.60538,                0.36456,                 1.1115,             9.0935e-05,             9.0935e-05,             9.0935e-05
                    194,                0.66704,                0.55161,                 1.2029,                 0.7103,                0.55709,                 1.2209,                0.95394,                0.94102,                0.98174,                0.84861,                0.54405,                0.43099,                 1.0717,                0.59324,                0.37848,                 1.1084,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    195,                0.68057,                0.57496,                 1.2167,                0.73507,                0.57356,                 1.2344,                0.87444,                0.97048,                0.97255,                0.84408,                0.55449,                0.42808,                 1.0793,                0.59238,                0.41288,                  1.101,             7.4432e-05,             7.4432e-05,             7.4432e-05
                    196,                0.65444,                0.51478,                  1.187,                0.68696,                0.52348,                 1.1985,                0.87514,                0.95951,                 0.9724,                0.84219,                0.55427,                0.43075,                 1.0756,                 0.5716,                0.42564,                 1.0919,              6.618e-05,              6.618e-05,              6.618e-05
                    197,                0.65302,                0.52662,                 1.1941,                0.68799,                 0.5698,                 1.2074,                0.89628,                0.95167,                0.98107,                0.83968,                 0.5524,                0.42886,                  1.072,                0.58351,                0.38063,                 1.1026,             5.7928e-05,             5.7928e-05,             5.7928e-05
                    198,                 0.6202,                0.52629,                 1.1708,                0.67368,                0.56037,                 1.1957,                0.91556,                0.96591,                0.98269,                0.84096,                 0.5542,                0.42791,                 1.0749,                0.59847,                0.36606,                 1.1177,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    199,                0.65906,                0.52256,                 1.1995,                0.68342,                0.52336,                 1.2067,                0.93545,                0.94312,                0.98366,                0.84641,                 0.5488,                0.41938,                 1.0757,                0.59429,                0.36066,                 1.1193,             4.1425e-05,             4.1425e-05,             4.1425e-05
                    200,                0.62459,                0.50603,                 1.1726,                0.67191,                0.51126,                  1.187,                0.92264,                0.93962,                0.97765,                 0.8496,                0.55169,                0.41826,                 1.0793,                0.59292,                0.35906,                 1.1213,             3.3173e-05,             3.3173e-05,             3.3173e-05
